zip5,po_name,primary_ruca,secondary_ruca,ruca_category
32775,Scottsmoor,2,2,urban
32776,Sorrento,2,2,urban
32777,Tangerine,1,1,urban
32778,Tavares,1,1,urban
32779,Longwood,1,1,urban
32780,Titusville,1,1.1,urban
32781,Titusville,1,1.1,urban
32783,Titusville,1,1.1,urban
32784,Umatilla,1,1,urban
32789,Winter Park,1,1,urban
32790,Winter Park,1,1,urban
32791,Longwood,1,1,urban
32792,Winter Park,1,1,urban
32793,Winter Park,1,1,urban
32794,Maitland,1,1,urban
32795,Lake Mary,1,1,urban
32796,Titusville,1,1.1,urban
32798,Zellwood,1,1,urban
32799,Mid Florida,1,1,urban
32801,Orlando,1,1,urban
32802,Orlando,1,1,urban
32803,Orlando,1,1,urban
32804,Orlando,1,1,urban
32805,Orlando,1,1,urban
32806,Orlando,1,1,urban
32807,Orlando,1,1,urban
32808,Orlando,1,1,urban
32809,Orlando,1,1,urban
32810,Orlando,1,1,urban
32811,Orlando,1,1,urban
32812,Orlando,1,1,urban
32814,Orlando,1,1,urban
32815,Orlando,10,10,ultra_rural
32816,Orlando,1,1,urban
32817,Orlando,1,1,urban
32818,Orlando,1,1,urban
32819,Orlando,1,1,urban
32820,Orlando,1,1,urban
32821,Orlando,2,2,urban
32822,Orlando,1,1,urban
32824,Orlando,2,2,urban
32825,Orlando,1,1,urban
32826,Orlando,1,1,urban
32827,Orlando,1,1,urban
32828,Orlando,1,1,urban
32829,Orlando,1,1,urban
32830,Orlando,1,1,urban
32831,Orlando,1,1,urban
32832,Orlando,1,1,urban
32833,Orlando,2,2,urban
32834,Orlando,1,1,urban
32835,Orlando,1,1,urban
32836,Orlando,1,1,urban
32837,Orlando,2,2,urban
32839,Orlando,1,1,urban
32853,Orlando,1,1,urban
32854,Orlando,1,1,urban
32855,Orlando,1,1,urban
32856,Orlando,1,1,urban
32857,Orlando,1,1,urban
32858,Orlando,1,1,urban
32859,Orlando,1,1,urban
32860,Orlando,1,1,urban
32861,Orlando,1,1,urban
32862,Orlando,1,1,urban
32867,Orlando,1,1,urban
32868,Orlando,1,1,urban
32869,Orlando,1,1,urban
32872,Orlando,1,1,urban
32877,Orlando,2,2,urban
32878,Orlando,1,1,urban
32885,Orlando,1,1,urban
32886,Orlando,1,1,urban
32887,Orlando,2,2,urban
32891,Orlando,1,1,urban
32896,Orlando,1,1,urban
32897,Orlando,1,1,urban
32899,Orlando,10,10,ultra_rural
32901,Melbourne,1,1,urban
32902,Melbourne,1,1,urban
32903,Indialantic,1,1,urban
32904,Melbourne,1,1,urban
32905,Palm Bay,1,1,urban
32906,Palm Bay,1,1,urban
32907,Palm Bay,1,1,urban
32908,Palm Bay,1,1,urban
32909,Palm Bay,1,1,urban
32910,Palm Bay,1,1,urban
32911,Palm Bay,1,1,urban
32912,Melbourne,1,1,urban
32919,Melbourne,1,1,urban
32920,Cape Canaveral,1,1,urban
32922,Cocoa,1,1,urban
32923,Cocoa,1,1,urban
32924,Cocoa,1,1,urban
32925,Patrick AFB,1,1,urban
32926,Cocoa,1,1,urban
32927,Cocoa,1,1,urban
32931,Cocoa Beach,1,1,urban
32932,Cocoa Beach,1,1,urban
32934,Melbourne,1,1,urban
32935,Melbourne,1,1,urban
32936,Melbourne,1,1,urban
32937,Satellite Beach,1,1,urban
32940,Melbourne,1,1,urban
32941,Melbourne,1,1,urban
32948,Fellsmere,10,10,ultra_rural
32949,Grant,2,2,urban
32950,Malabar,2,2,urban
32951,Melbourne Beach,1,1,urban
32952,Merritt Island,1,1,urban
32953,Merritt Island,1,1,urban
32954,Merritt Island,1,1,urban
32955,Rockledge,1,1,urban
32956,Rockledge,1,1,urban
32957,Roseland,1,1,urban
32958,Sebastian,1,1,urban
32959,Sharpes,1,1,urban
32960,Vero Beach,1,1,urban
32961,Vero Beach,1,1,urban
32962,Vero Beach,1,1,urban
32963,Vero Beach,1,1,urban
32964,Vero Beach,1,1,urban
32965,Vero Beach,1,1,urban
32966,Vero Beach,1,1,urban
32967,Vero Beach,1,1,urban
32968,Vero Beach,1,1,urban
32969,Vero Beach,1,1,urban
32970,Wabasso,1,1,urban
32971,Winter Beach,1,1,urban
32976,Sebastian,1,1,urban
32978,Sebastian,1,1,urban
33001,Long Key,10,10.3,ultra_rural
33002,Hialeah,1,1,urban
33004,Dania,1,1,urban
33008,Hallandale,1,1,urban
33009,Hallandale,1,1,urban
33010,Hialeah,1,1,urban
33011,Hialeah,1,1,urban
33012,Hialeah,1,1,urban
33013,Hialeah,1,1,urban
33014,Hialeah,1,1,urban
33015,Hialeah,1,1,urban
33016,Hialeah,1,1,urban
33017,Hialeah,1,1,urban
33018,Hialeah,1,1,urban
33019,Hollywood,1,1,urban
33020,Hollywood,1,1,urban
33021,Hollywood,1,1,urban
33022,Hollywood,1,1,urban
33023,Hollywood,1,1,urban
33024,Hollywood,1,1,urban
33025,Hollywood,1,1,urban
33026,Hollywood,1,1,urban
33027,Hollywood,1,1,urban
33028,Pembroke Pines,1,1,urban
33029,Hollywood,1,1,urban
33030,Homestead,1,1,urban
33031,Homestead,2,2,urban
33032,Homestead,1,1,urban
33033,Homestead,1,1,urban
33034,Homestead,1,1,urban
33035,Homestead,1,1,urban
33036,Islamorada,4,4,suburban
33037,Key Largo,4,4,suburban
33039,Homestead,1,1,urban
33040,Key West,4,4,suburban
33041,Key West,4,4,suburban
33042,Summerland Key,7,7.2,rural
33043,Big Pine Key,7,7.2,rural
33045,Key West,4,4,suburban
33050,Marathon,7,7,rural
33051,Key Colony Beach,7,7,rural
33052,Marathon Shores,7,7,rural
33054,Opa Locka,1,1,urban
33055,Opa Locka,1,1,urban
33056,Miami Gardens,1,1,urban
33060,Pompano Beach,1,1,urban
33061,Pompano Beach,1,1,urban
33062,Pompano Beach,1,1,urban
33063,Pompano Beach,1,1,urban
33064,Pompano Beach,1,1,urban
